Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
PARZRH-01A_vs_PARZRH-10A	0	331	0	222	61	153	96	81	17
PASABD-01A_vs_PASABD-10A	7	27	90	109	4	81	75	33	13
PASADZ-01A_vs_PASADZ-10A	53	98	77	61	6	100	70	102	50
PASCDH-01A_vs_PASCDH-10A	30	75	64	112	25	64	134	60	12
PASDLA-01A_vs_PASDLA-11A	20	43	13	74	17	59	57	21	12
PASGCL-01A_vs_PASGCL-10A	32	39	89	132	27	19	124	13	38
PASRHU-01A_vs_PASRHU-10A	0	33	0	45	3	31	94	15	7
PASVDP-01A_vs_PASVDP-10A	70	116	3	16	52	36	81	31	14
PASWZZ-01A_vs_PASWZZ-10A	37	32	0	37	8	49	66	33	26
PASXNA-01A_vs_PASXNA-11A	80	43	85	15	12	115	97	38	25
PASYNF-01A_vs_PASYNF-10A	0	50	46	51	23	28	103	19	16
PASZYE-01A_vs_PASZYE-10A	68	93	44	79	3	54	108	19	23
PATAFT-01A_vs_PATAFT-10A	94	41	38	79	22	156	30	34	24
PATBLF-01A_vs_PATBLF-10A	65	209	55	143	25	51	125	46	6
PATDVL-01A_vs_PATDVL-10A	48	88	8	63	32	17	73	30	14
PATENH-01A_vs_PATENH-11A	0	93	21	233	22	100	185	61	10
PATFXW-01A_vs_PATFXW-10A	56	63	0	50	0	179	144	72	20
PATFZZ-01A_vs_PATFZZ-10A	2	38	136	44	30	217	103	82	25
PATXEE-01A_vs_PATXEE-10A	86	217	0	203	37	92	169	31	8
PATXKA-01A_vs_PATXKA-10A	13	83	89	45	25	48	47	53	39
PAUCGJ-01A_vs_PAUCGJ-10A	48	170	54	163	8	196	34	145	8
PAUDPV-01A_vs_PAUDPV-11A	0	5	10	92	0	106	30	43	0
PAUEKW-01A_vs_PAUEKW-10A	163	92	240	206	61	51	393	27	72
PAUFVP-01A_vs_PAUFVP-11A	17	84	136	143	24	125	167	40	31
PAUGYZ-01A_vs_PAUGYZ-10A	6	161	0	19	24	196	98	10	18
PAUHAZ-01A_vs_PAUHAZ-10A	0	51	0	37	26	111	95	15	22
PAUNPA-01A_vs_PAUNPA-11A	21	334	0	133	38	54	149	6	26
PAVCKS-01A_vs_PAVCKS-11A	54	105	67	244	42	219	192	191	32
PAVITI-01A_vs_PAVITI-10A	48	166	94	66	57	76	139	45	26
PAVYDM-01A_vs_PAVYDM-11A	69	17	50	29	20	190	69	28	8
PAVYKD-01A_vs_PAVYKD-10A	33	30	17	49	0	93	62	31	18
PAWDGA-01A_vs_PAWDGA-11A	7	145	122	400	3	38	30	15	32
PAWFBL-01A_vs_PAWFBL-11A	1	191	0	140	19	177	79	17	21
PAWFWK-01A_vs_PAWFWK-10A	64	109	0	0	17	87	94	15	22
SJBT030128_D1_vs_SJBT030128_G1	8	103	0	0	3	1	90	2	13
SJBT030255_D1_vs_SJBT030255_G1	175	95	29	62	90	508	157	99	34
SJBT030581_D1_vs_SJBT030581_G1	48	227	164	96	62	39	432	4	17
SJBT030707_D2_vs_SJBT030707_G1	12	0	25	36	0	0	66	0	23
SJBT030896_D1_vs_SJBT030896_G1	60	12	219	0	1356	0	173	0	0
SJBT030997_D1_vs_SJBT030997_G1	97	110	39	51	22	11	113	54	10
SJBT031235_D1_vs_SJBT031235_G1	16	33	0	0	0	0	95	0	14
SJBT031605_D1_vs_SJBT031605_G1	798	0	0	531	280	1768	58	160	47
SJBT031948_D2_vs_SJBT031948_G1	137	492	1069	147	4115	892	13	229	52
SJBT032047_D1_vs_SJBT032047_G1	2	0	0	0	2	0	1	0	2
SJBT032346_D1_vs_SJBT032346_G1	74	118	0	139	15	0	300	16	30
SJBT032393_D1_vs_SJBT032393_G1	86	371	182	225	78	171	1133	50	89
SJBT032417_D2_vs_SJBT032417_G1	23	20	0	0	95	99	84	17	5
SJBT033133_D3_vs_SJBT033133_G1	0	0	0	5	1	1	1	0	1
SJBT033236_D2_vs_SJBT033236_G1	19	3	0	2	5	11	53	0	2
SJBT034089_D1_vs_SJBT034089_G1	6	1	10	3	2	0	59	0	0
SJBT034110_D2_vs_SJBT034110_G1	54	3	18	31	8	42	68	4	9
SJMRT014754_D1_vs_SJMRT014754_G1	0	269	256	30	273	365	90	38	69
SJMRT015723_D1_vs_SJMRT015723_G1	34	52	243	245	78	92	116	71	36
SJMRT063832_X1_vs_SJMRT063832_G1	10476	0	1904	1712	1624	37	963	415	446
