Samples	SBS96A	SBS96B	SBS96C	SBS96D
PASZYE-01A_vs_PASZYE-10A	4.74E+00	4.52E+00	1.43E+00	4.92E+00
PATAFT-01A_vs_PATAFT-10A	3.36E+00	3.91E+00	1.55E+00	4.62E+00
PATBLF-01A_vs_PATBLF-10A	5.95E+00	5.25E+00	1.98E+00	3.21E+00
PATDVL-01A_vs_PATDVL-10A	2.80E+00	2.52E+00	1.37E+00	2.76E+00
PATENH-01A_vs_PATENH-11A	8.21E+00	7.90E+00	1.60E+00	2.39E+00
PATFXW-01A_vs_PATFXW-10A	5.43E+00	5.20E+00	1.07E+00	3.30E+00
PATFZZ-01A_vs_PATFZZ-10A	4.56E+00	3.85E+00	1.66E+00	3.73E+00
PATXEE-01A_vs_PATXEE-10A	5.08E+00	4.41E+00	1.51E+00	3.01E+00
PATXKA-01A_vs_PATXKA-10A	2.56E+00	2.68E+00	1.44E+00	2.75E+00
PAUCGJ-01A_vs_PAUCGJ-10A	4.61E+00	5.14E+00	2.20E+00	5.19E+00
PAUDPV-01A_vs_PAUDPV-11A	2.57E+00	2.45E+00	1.18E+00	2.47E+00
PAUEKW-01A_vs_PAUEKW-10A	1.49E+01	1.35E+01	2.88E+00	1.36E+01
PAUFVP-01A_vs_PAUFVP-11A	8.48E+00	7.18E+00	1.91E+00	3.56E+00
PAUGYZ-01A_vs_PAUGYZ-10A	5.30E+00	5.10E+00	1.48E+00	9.43E-01
PAUHAZ-01A_vs_PAUHAZ-10A	3.61E+00	3.14E+00	1.14E+00	1.40E+00
PAUNPA-01A_vs_PAUNPA-11A	7.61E+00	6.91E+00	2.13E+00	3.02E+00
PAVCKS-01A_vs_PAVCKS-11A	8.11E+00	7.82E+00	2.44E+00	7.50E+00
PAVITI-01A_vs_PAVITI-10A	6.74E+00	5.82E+00	1.84E+00	3.11E+00
PAVYDM-01A_vs_PAVYDM-11A	3.80E+00	4.11E+00	1.70E+00	5.31E+00
PAVYKD-01A_vs_PAVYKD-10A	3.16E+00	2.54E+00	1.16E+00	2.61E+00
PAWDGA-01A_vs_PAWDGA-11A	5.87E+00	6.48E+00	2.47E+00	6.81E+00
PAWFBL-01A_vs_PAWFBL-11A	5.64E+00	5.57E+00	2.02E+00	2.07E+00
PAWFWK-01A_vs_PAWFWK-10A	3.16E+00	2.91E+00	8.93E-01	2.70E+00
SJBT030128_D1_vs_SJBT030128_G1	2.53E+00	2.55E+00	2.26E-01	3.51E-01
SJBT030255_D1_vs_SJBT030255_G1	7.94E+00	7.62E+00	3.28E+00	9.70E+00
SJBT030581_D1_vs_SJBT030581_G1	1.62E+01	1.56E+01	2.40E+00	5.66E+00
SJBT030707_D2_vs_SJBT030707_G1	2.84E+00	2.94E+00	5.33E-01	2.69E+00
SJBT030896_D1_vs_SJBT030896_G1	9.93E+00	6.90E+00	8.59E+00	6.09E+00
SJBT030997_D1_vs_SJBT030997_G1	3.56E+00	3.64E+00	1.37E+00	3.93E+00
SJBT031235_D1_vs_SJBT031235_G1	9.65E-01	9.33E-01	1.48E-01	5.98E-02
SJBT031605_D1_vs_SJBT031605_G1	8.86E+00	1.25E+01	4.02E+00	1.61E+01
SJBT031948_D2_vs_SJBT031948_G1	2.75E+01	1.54E+01	2.10E+01	1.21E+01
SJBT032047_D1_vs_SJBT032047_G1	7.06E-02	2.35E-01	1.28E-01	2.48E-01
SJBT032346_D1_vs_SJBT032346_G1	9.24E+00	8.46E+00	1.40E+00	5.02E+00
SJBT032393_D1_vs_SJBT032393_G1	1.62E+01	1.48E+01	2.00E+00	4.95E+00
SJBT032417_D2_vs_SJBT032417_G1	2.24E+00	2.04E+00	5.63E-01	7.41E-01
SJBT033133_D3_vs_SJBT033133_G1	2.26E-01	3.24E-01	1.58E-01	2.84E-01
SJBT033236_D2_vs_SJBT033236_G1	1.01E+00	9.79E-01	4.56E-01	7.31E-01
SJBT034089_D1_vs_SJBT034089_G1	1.14E+00	1.14E+00	3.77E-01	1.40E-01
SJBT034110_D2_vs_SJBT034110_G1	1.96E+00	1.93E+00	6.27E-01	2.01E+00
SJMRT014754_D1_vs_SJMRT014754_G1	7.04E+00	5.25E+00	4.40E+00	3.04E+00
SJMRT015723_D1_vs_SJMRT015723_G1	4.96E+00	6.24E+00	1.53E+00	7.48E+00
SJMRT063832_X1_vs_SJMRT063832_G1	2.30E+02	4.98E+02	5.28E+01	5.33E+02
