Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
PAUDPV-01A_vs_PAUDPV-11A	2.85E+00	2.10E+00	1.16E+00	1.70E+00	3.48E+00	9.46E-01
PAUEKW-01A_vs_PAUEKW-10A	5.33E+00	5.49E+00	2.32E+00	4.54E+00	4.78E+00	9.87E-01
PAUFVP-01A_vs_PAUFVP-11A	5.18E+00	3.44E+00	1.87E+00	3.22E+00	5.58E+00	1.14E+00
PAUGYZ-01A_vs_PAUGYZ-10A	4.53E+00	6.87E-01	1.51E+00	2.21E+00	5.51E+00	4.86E-01
PAUHAZ-01A_vs_PAUHAZ-10A	2.52E+00	1.34E+00	1.06E+00	1.57E+00	2.31E+00	7.68E-01
PAUNPA-01A_vs_PAUNPA-11A	4.42E+00	2.72E+00	1.85E+00	2.74E+00	4.18E+00	5.18E-01
PAVCKS-01A_vs_PAVCKS-11A	5.64E+00	4.06E+00	2.36E+00	3.37E+00	5.80E+00	2.33E+00
PAVITI-01A_vs_PAVITI-10A	4.88E+00	3.10E+00	1.87E+00	2.85E+00	5.14E+00	1.14E+00
PAVYDM-01A_vs_PAVYDM-11A	4.55E+00	3.24E+00	2.05E+00	2.24E+00	6.37E+00	1.03E+00
PAVYKD-01A_vs_PAVYKD-10A	2.52E+00	1.83E+00	1.04E+00	1.54E+00	2.71E+00	8.77E-01
PAWDGA-01A_vs_PAWDGA-11A	5.07E+00	4.45E+00	2.11E+00	2.68E+00	4.49E+00	8.15E-01
PAWFBL-01A_vs_PAWFBL-11A	4.75E+00	2.12E+00	1.93E+00	2.50E+00	5.55E+00	7.90E-01
PAWFWK-01A_vs_PAWFWK-10A	2.01E+00	2.07E+00	8.30E-01	1.80E+00	2.01E+00	9.17E-01
SJBT030128_D1_vs_SJBT030128_G1	1.46E+00	3.12E-01	1.84E-01	1.02E+00	1.44E+00	2.06E-01
SJBT030255_D1_vs_SJBT030255_G1	1.18E+01	5.67E+00	4.35E+00	4.22E+00	1.75E+01	1.79E+00
SJBT030581_D1_vs_SJBT030581_G1	4.86E+00	3.59E+00	2.26E+00	3.87E+00	5.29E+00	5.27E-01
SJBT030707_D2_vs_SJBT030707_G1	7.48E-01	1.62E+00	3.97E-01	1.39E+00	1.32E+00	2.33E-01
SJBT030896_D1_vs_SJBT030896_G1	4.34E+00	4.79E+00	8.15E+00	3.77E+00	7.39E+00	9.57E-01
SJBT030997_D1_vs_SJBT030997_G1	2.22E+00	2.61E+00	1.28E+00	1.79E+00	1.96E+00	1.01E+00
SJBT031235_D1_vs_SJBT031235_G1	5.19E-01	1.36E-01	1.73E-01	4.94E-01	2.34E-01	0.00E+00
SJBT031605_D1_vs_SJBT031605_G1	1.17E+01	6.00E+00	4.78E+00	4.74E+00	1.51E+01	1.62E+00
