Samples	SBS96A	SBS96B
SJBT031948_D2_vs_SJBT031948_G1	2.19E+01	2.19E+01
SJBT032047_D1_vs_SJBT032047_G1	1.91E-01	1.91E-01
SJBT032346_D1_vs_SJBT032346_G1	1.27E+00	1.27E+00
SJBT032393_D1_vs_SJBT032393_G1	2.06E+00	2.06E+00
SJBT032417_D2_vs_SJBT032417_G1	4.55E-01	4.54E-01
SJBT033133_D3_vs_SJBT033133_G1	2.24E-01	2.24E-01
SJBT033236_D2_vs_SJBT033236_G1	4.47E-01	4.47E-01
SJBT034089_D1_vs_SJBT034089_G1	4.06E-01	4.06E-01
SJBT034110_D2_vs_SJBT034110_G1	7.35E-01	7.35E-01
SJMRT014754_D1_vs_SJMRT014754_G1	4.43E+00	4.43E+00
SJMRT015723_D1_vs_SJMRT015723_G1	1.63E+00	1.63E+00
SJMRT063832_X1_vs_SJMRT063832_G1	3.52E+01	3.52E+01
