Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
SJBT032047_D1_vs_SJBT032047_G1	0	0	0	4	0	0	3
SJBT032346_D1_vs_SJBT032346_G1	99	207	0	0	386	0	0
SJBT032393_D1_vs_SJBT032393_G1	43	391	352	73	1378	58	90
SJBT032417_D2_vs_SJBT032417_G1	0	0	124	98	100	21	0
SJBT033133_D3_vs_SJBT033133_G1	4	0	0	0	3	0	2
SJBT033236_D2_vs_SJBT033236_G1	24	0	0	0	71	0	0
SJBT034089_D1_vs_SJBT034089_G1	0	0	0	0	81	0	0
SJBT034110_D2_vs_SJBT034110_G1	68	8	45	11	87	5	13
SJMRT014754_D1_vs_SJMRT014754_G1	21	209	620	304	111	45	80
SJMRT015723_D1_vs_SJMRT015723_G1	215	233	102	113	177	72	55
SJMRT063832_X1_vs_SJMRT063832_G1	12784	0	0	2294	1190	518	791
