Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
PASDLA-01A_vs_PASDLA-11A	7.97E-01	3.33E-01	3.06E-01	5.74E-01	6.63E-01
PASVDP-01A_vs_PASVDP-10A	1.06E+00	4.03E-01	7.43E-01	7.48E-01	5.67E-01
PASWZZ-01A_vs_PASWZZ-10A	7.78E-01	4.20E-01	5.78E-01	8.18E-01	8.68E-01
PASXNA-01A_vs_PASXNA-11A	3.84E-01	2.64E-01	0.00E+00	1.71E-01	2.56E-01
PATAFT-01A_vs_PATAFT-10A	1.89E+00	7.59E-01	1.14E+00	6.85E-01	2.07E+00
PATDVL-01A_vs_PATDVL-10A	1.71E-01	1.22E-01	4.48E-01	3.50E-01	3.76E-01
PATENH-01A_vs_PATENH-11A	9.62E-01	2.65E-01	5.84E-01	8.07E-01	9.24E-01
PATFXW-01A_vs_PATFXW-10A	1.65E+00	3.48E-01	5.36E-01	1.18E+00	1.64E+00
PATFZZ-01A_vs_PATFZZ-10A	1.67E+00	8.12E-01	9.10E-01	1.09E+00	1.59E+00
PATXEE-01A_vs_PATXEE-10A	4.61E+00	1.17E+00	8.17E-01	2.45E+00	4.23E+00
PAUEKW-01A_vs_PAUEKW-10A	2.86E-01	2.39E-01	4.02E-01	5.23E-01	2.82E-01
PAUFVP-01A_vs_PAUFVP-11A	1.14E+00	4.06E-01	7.78E-01	6.90E-01	9.91E-01
PAUGYZ-01A_vs_PAUGYZ-10A	1.67E+00	5.50E-01	4.97E-01	5.49E-01	1.43E+00
PAUHAZ-01A_vs_PAUHAZ-10A	1.62E+00	6.92E-01	6.35E-01	9.58E-01	1.27E+00
PAVCKS-01A_vs_PAVCKS-11A	1.16E+00	3.73E-01	5.56E-01	7.22E-01	7.39E-01
PAVYKD-01A_vs_PAVYKD-10A	8.65E-01	0.00E+00	4.27E-01	4.81E-01	7.64E-01
PAWFBL-01A_vs_PAWFBL-11A	7.05E-01	4.62E-01	4.10E-01	5.08E-01	5.24E-01
PAWFWK-01A_vs_PAWFWK-10A	1.64E+00	7.15E-01	2.39E-01	1.00E+00	1.09E+00
SJBT030128_D1_vs_SJBT030128_G1	1.11E+00	4.99E-01	5.52E-01	7.12E-01	7.99E-01
SJBT030255_D1_vs_SJBT030255_G1	1.49E+00	8.37E-01	1.17E+00	9.36E-01	1.22E+00
SJBT030581_D1_vs_SJBT030581_G1	3.78E-01	2.21E-01	1.89E-01	2.28E-01	1.54E-01
SJBT030997_D1_vs_SJBT030997_G1	2.03E+00	3.21E-01	1.08E-01	1.23E+00	1.76E+00
SJBT031235_D1_vs_SJBT031235_G1	1.10E+00	1.39E-01	7.44E-01	1.26E+00	5.77E-01
SJBT031605_D1_vs_SJBT031605_G1	1.92E+01	4.64E+00	7.45E+00	4.59E+00	2.08E+01
SJBT031948_D2_vs_SJBT031948_G1	1.01E+01	6.28E+00	6.29E+00	1.83E+00	7.34E+00
SJBT032346_D1_vs_SJBT032346_G1	5.29E-01	0.00E+00	5.01E-01	6.02E-01	4.10E-01
SJBT032393_D1_vs_SJBT032393_G1	8.63E+00	3.12E+00	3.10E+00	8.26E+00	3.96E+00
SJBT032417_D2_vs_SJBT032417_G1	2.17E+00	1.94E+00	8.36E-01	1.45E+00	1.56E+00
SJBT033236_D2_vs_SJBT033236_G1	2.58E-01	1.53E-01	2.08E-01	3.49E-01	0.00E+00
SJBT034089_D1_vs_SJBT034089_G1	3.59E-01	1.65E-01	2.38E-01	4.84E-01	2.92E-01
SJBT034110_D2_vs_SJBT034110_G1	1.20E+00	5.64E-01	6.90E-01	1.14E+00	7.90E-01
SJMRT014754_D1_vs_SJMRT014754_G1	1.99E+00	1.41E+00	1.59E+00	5.27E-01	8.97E-01
SJMRT015723_D1_vs_SJMRT015723_G1	3.69E+00	1.93E+00	1.41E+00	2.03E+00	3.18E+00
SJMRT063832_X1_vs_SJMRT063832_G1	4.21E-01	3.80E-01	1.04E-01	1.85E-01	1.70E-01
