Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
PADYZI-01A_vs_PADYZI-10A	8.96E-01	4.50E-01	2.03E+00	3.77E+00	1.39E+00	1.12E+00	1.32E+00	1.50E-01	4.51E+00	1.24E+00
PAEHIP-01A_vs_PAEHIP-10A	5.32E-01	1.78E+00	2.12E+00	2.09E+00	9.31E-01	1.42E+00	2.73E+00	1.58E+00	7.50E-01	1.19E+00
PAJLWM-01A_vs_PAJLWM-11A	1.73E+00	2.37E+00	3.48E+00	3.22E+00	1.13E+00	1.90E+00	3.28E+00	1.58E+00	7.16E-01	9.21E-01
PAJMBW-01A_vs_PAJMBW-10A	2.05E+00	3.03E+00	4.67E+00	2.59E+00	1.22E+00	2.93E+00	5.03E+00	1.23E+00	2.70E+00	7.90E-01
PAJMRB-01A_vs_PAJMRB-11A	1.23E+00	1.89E+00	2.73E+00	2.68E+00	6.98E-01	1.51E+00	2.56E+00	1.68E+00	0.00E+00	7.65E-01
PAJNER-01A_vs_PAJNER-11A	1.70E+00	9.64E-01	1.65E+00	2.70E+00	4.74E-01	2.85E+00	2.47E+00	1.35E+00	5.48E-01	8.42E-01
PAJNFP-01A_vs_PAJNFP-11A	2.13E+00	4.16E+00	4.75E+00	3.83E+00	2.08E+00	6.04E+00	6.66E+00	1.98E+00	2.66E+00	1.94E+00
PAJNFZ-01A_vs_PAJNFZ-10A	2.94E+00	2.19E+00	3.51E+00	2.34E+00	9.53E-01	3.76E+00	3.95E+00	1.68E+00	1.90E+00	1.42E+00
PAKHTL-01A_vs_PAKHTL-11A	3.50E+00	3.56E+00	6.05E+00	5.49E+00	5.70E-01	6.40E+00	4.11E+00	2.61E+00	1.75E+00	2.13E+00
PAKLYZ-01A_vs_PAKLYZ-10A	2.78E+00	7.72E+00	8.68E+00	4.28E+00	3.32E+00	1.04E+01	1.08E+01	2.30E+00	1.17E+00	1.41E+00
PAKTCT-01A_vs_PAKTCT-11A	3.62E+00	3.73E+00	6.62E+00	4.37E+00	2.01E+00	6.13E+00	5.81E+00	2.32E+00	1.07E+00	1.77E+00
PARECB-01A_vs_PARECB-11A	2.30E+00	1.99E+00	2.69E+00	2.15E+00	8.97E-01	2.05E+00	2.70E+00	1.36E+00	8.18E-01	6.10E-01
PAREWI-01A_vs_PAREWI-11A	2.26E+00	2.16E+00	4.38E+00	3.61E+00	7.43E-01	4.19E+00	4.07E+00	1.58E+00	1.60E+00	1.32E+00
PARGRN-01A_vs_PARGRN-10A	1.59E+00	2.74E+00	3.27E+00	3.50E+00	1.03E+00	3.94E+00	4.23E+00	1.51E+00	1.78E+00	1.23E+00
PARIRN-01A_vs_PARIRN-10A	1.20E+00	2.39E+00	5.69E+00	4.62E+00	1.43E+00	5.18E+00	5.35E+00	2.25E+00	7.87E-01	1.50E+00
PARPFY-01A_vs_PARPFY-11A	1.84E+00	3.53E+00	4.07E+00	3.76E+00	1.16E+00	5.10E+00	4.95E+00	1.98E+00	1.40E+00	9.37E-01
PARRCL-01A_vs_PARRCL-11A	2.52E+00	2.56E+00	3.11E+00	2.76E+00	1.50E+00	3.31E+00	3.49E+00	1.53E+00	1.41E+00	1.17E+00
PARTKH-01A_vs_PARTKH-10A	3.02E+00	2.78E+00	3.04E+00	2.56E+00	1.21E+00	4.70E+00	4.73E+00	1.51E+00	1.39E+00	1.46E+00
PARUGK-01A_vs_PARUGK-10A	1.98E+00	1.87E+00	1.85E+00	3.08E+00	1.12E+00	3.29E+00	2.57E+00	1.18E+00	9.95E-01	8.03E-01
PARZBI-01A_vs_PARZBI-11A	3.09E+00	2.15E+00	4.06E+00	3.35E+00	1.27E+00	3.82E+00	3.78E+00	1.77E+00	1.54E+00	1.42E+00
PARZRH-01A_vs_PARZRH-10A	4.80E-01	5.14E+00	4.19E+00	5.46E+00	1.91E+00	7.95E+00	6.28E+00	2.30E+00	1.56E+00	1.42E+00
PASABD-01A_vs_PASABD-10A	1.83E+00	2.42E+00	4.28E+00	2.99E+00	9.39E-01	3.70E+00	3.90E+00	1.80E+00	1.07E+00	1.16E+00
PASADZ-01A_vs_PASADZ-10A	2.66E+00	2.89E+00	5.23E+00	3.43E+00	7.96E-01	4.60E+00	4.74E+00	1.97E+00	1.71E+00	1.72E+00
PASCDH-01A_vs_PASCDH-10A	2.52E+00	2.69E+00	3.61E+00	3.36E+00	1.22E+00	4.21E+00	3.32E+00	2.09E+00	1.40E+00	9.96E-01
PASDLA-01A_vs_PASDLA-11A	1.73E+00	1.73E+00	2.61E+00	2.60E+00	1.12E+00	2.43E+00	2.54E+00	1.56E+00	8.47E-01	1.01E+00
PASGCL-01A_vs_PASGCL-10A	2.80E+00	2.29E+00	3.97E+00	3.80E+00	1.21E+00	4.12E+00	2.29E+00	1.87E+00	6.40E-01	1.34E+00
PASRHU-01A_vs_PASRHU-10A	7.16E-01	1.50E+00	1.35E+00	1.90E+00	4.89E-01	1.86E+00	1.96E+00	1.37E+00	5.67E-01	6.64E-01
PASVDP-01A_vs_PASVDP-10A	2.33E+00	2.35E+00	2.26E+00	1.53E+00	1.56E+00	2.61E+00	2.71E+00	1.66E+00	9.40E-01	1.06E+00
PASWZZ-01A_vs_PASWZZ-10A	2.01E+00	1.89E+00	1.30E+00	1.78E+00	8.37E-01	2.48E+00	2.72E+00	1.37E+00	9.60E-01	1.01E+00
PASXNA-01A_vs_PASXNA-11A	2.68E+00	2.57E+00	4.01E+00	2.13E+00	1.47E+00	4.34E+00	4.32E+00	1.48E+00	1.08E+00	1.36E+00
PASYNF-01A_vs_PASYNF-10A	8.59E-01	1.99E+00	2.64E+00	2.57E+00	1.24E+00	2.59E+00	2.39E+00	1.54E+00	7.73E-01	8.94E-01
PASZYE-01A_vs_PASZYE-10A	2.80E+00	1.95E+00	3.17E+00	2.97E+00	8.23E-01	3.28E+00	3.64E+00	1.78E+00	8.73E-01	1.18E+00
PATAFT-01A_vs_PATAFT-10A	3.01E+00	2.66E+00	3.58E+00	3.14E+00	1.32E+00	4.80E+00	4.45E+00	1.37E+00	1.08E+00	1.40E+00
PATBLF-01A_vs_PATBLF-10A	2.79E+00	3.80E+00	4.80E+00	4.07E+00	1.56E+00	5.37E+00	4.73E+00	2.32E+00	1.26E+00	9.75E-01
PATDVL-01A_vs_PATDVL-10A	2.26E+00	2.24E+00	2.21E+00	2.68E+00	1.14E+00	2.86E+00	2.93E+00	1.28E+00	9.21E-01	9.66E-01
PATENH-01A_vs_PATENH-11A	1.52E+00	3.36E+00	4.15E+00	4.02E+00	1.24E+00	4.05E+00	4.78E+00	2.46E+00	1.55E+00	1.09E+00
PATFXW-01A_vs_PATFXW-10A	2.44E+00	3.10E+00	3.34E+00	2.86E+00	4.19E-01	5.05E+00	4.52E+00	2.20E+00	1.74E+00	1.16E+00
PATFZZ-01A_vs_PATFZZ-10A	2.82E+00	2.80E+00	5.64E+00	3.06E+00	1.74E+00	5.65E+00	6.31E+00	2.21E+00	1.59E+00	1.27E+00
PATXEE-01A_vs_PATXEE-10A	3.38E+00	5.11E+00	3.86E+00	7.22E+00	1.81E+00	1.04E+01	6.57E+00	2.25E+00	1.16E+00	9.19E-01
PATXKA-01A_vs_PATXKA-10A	1.86E+00	2.34E+00	3.36E+00	2.37E+00	1.55E+00	3.80E+00	3.93E+00	1.32E+00	1.36E+00	1.32E+00
PAUCGJ-01A_vs_PAUCGJ-10A	3.05E+00	4.82E+00	5.19E+00	4.31E+00	1.33E+00	7.14E+00	5.38E+00	1.84E+00	2.00E+00	1.24E+00
PAUDPV-01A_vs_PAUDPV-11A	1.34E+00	1.53E+00	2.38E+00	2.55E+00	5.26E-01	2.64E+00	3.02E+00	1.39E+00	1.10E+00	1.83E-01
PAUEKW-01A_vs_PAUEKW-10A	4.86E+00	3.69E+00	7.65E+00	6.32E+00	2.37E+00	6.60E+00	5.36E+00	3.46E+00	1.12E+00	2.25E+00
PAUFVP-01A_vs_PAUFVP-11A	2.41E+00	3.30E+00	5.08E+00	4.76E+00	1.59E+00	4.93E+00	5.79E+00	2.47E+00	1.17E+00	1.68E+00
PAUGYZ-01A_vs_PAUGYZ-10A	7.56E-01	3.58E+00	2.95E+00	2.30E+00	1.42E+00	3.62E+00	4.92E+00	1.95E+00	6.34E-01	9.23E-01
PAUHAZ-01A_vs_PAUHAZ-10A	4.33E-01	2.25E+00	2.58E+00	1.99E+00	8.81E-01	3.06E+00	3.37E+00	1.41E+00	8.92E-01	1.17E+00
PAUNPA-01A_vs_PAUNPA-11A	2.33E+00	4.08E+00	4.53E+00	4.22E+00	1.87E+00	4.85E+00	4.97E+00	2.33E+00	4.00E-01	1.59E+00
PAVCKS-01A_vs_PAVCKS-11A	3.45E+00	4.51E+00	5.18E+00	4.67E+00	2.54E+00	5.86E+00	5.91E+00	2.78E+00	2.33E+00	1.83E+00
PAVITI-01A_vs_PAVITI-10A	2.17E+00	3.43E+00	5.49E+00	3.39E+00	1.81E+00	4.19E+00	4.83E+00	2.14E+00	1.33E+00	1.43E+00
PAVYDM-01A_vs_PAVYDM-11A	3.11E+00	1.82E+00	3.85E+00	2.53E+00	1.42E+00	4.96E+00	4.45E+00	1.69E+00	1.05E+00	9.26E-01
PAVYKD-01A_vs_PAVYKD-10A	2.05E+00	1.89E+00	2.34E+00	2.58E+00	4.73E-01	2.73E+00	3.33E+00	1.24E+00	1.03E+00	1.04E+00
PAWDGA-01A_vs_PAWDGA-11A	3.32E+00	6.87E+00	4.85E+00	1.25E+01	1.92E+00	1.49E+01	4.93E+00	1.89E+00	7.43E-01	2.02E+00
PAWFBL-01A_vs_PAWFBL-11A	9.38E-01	3.69E+00	4.81E+00	4.39E+00	1.31E+00	4.03E+00	5.73E+00	2.04E+00	7.51E-01	1.38E+00
PAWFWK-01A_vs_PAWFWK-10A	2.38E+00	2.16E+00	2.54E+00	6.88E-01	9.00E-01	2.53E+00	3.75E+00	1.68E+00	9.10E-01	1.21E+00
SJBT030128_D1_vs_SJBT030128_G1	8.04E-01	1.69E+00	1.12E+00	9.51E-01	5.15E-01	1.48E+00	1.27E+00	1.13E+00	2.61E-01	8.04E-01
SJBT030255_D1_vs_SJBT030255_G1	6.02E+00	6.06E+00	7.84E+00	4.22E+00	2.96E+00	1.09E+01	1.03E+01	3.62E+00	1.77E+00	2.11E+00
SJBT030581_D1_vs_SJBT030581_G1	3.63E+00	4.55E+00	7.32E+00	4.99E+00	2.16E+00	7.10E+00	5.57E+00	3.28E+00	5.06E-01	1.58E+00
SJBT030707_D2_vs_SJBT030707_G1	1.30E+00	5.95E-02	1.67E+00	1.60E+00	3.33E-01	1.79E+00	7.95E-01	1.10E+00	6.36E-02	8.27E-01
SJBT030896_D1_vs_SJBT030896_G1	3.71E+00	4.42E+00	1.34E+01	2.06E+00	1.80E+01	2.72E+01	7.98E+00	3.25E+00	1.23E+00	1.74E+00
SJBT030997_D1_vs_SJBT030997_G1	2.97E+00	3.38E+00	3.17E+00	3.38E+00	1.17E+00	4.85E+00	2.46E+00	1.92E+00	1.17E+00	1.08E+00
SJBT031235_D1_vs_SJBT031235_G1	9.47E-01	1.21E+00	7.63E-01	5.83E-01	1.17E-01	1.44E+00	5.40E-01	1.16E+00	1.20E-01	6.05E-01
SJBT031605_D1_vs_SJBT031605_G1	1.27E+01	1.65E+01	2.74E+01	2.12E+01	8.55E+00	3.13E+01	2.65E+01	6.73E+00	3.71E+00	4.36E+00
SJBT031948_D2_vs_SJBT031948_G1	1.17E+01	2.46E+01	4.64E+01	2.31E+01	3.97E+01	5.98E+01	2.99E+01	3.37E+00	4.41E+00	6.05E+00
SJBT032047_D1_vs_SJBT032047_G1	2.75E-01	0.00E+00	1.74E-01	0.00E+00	1.18E-01	1.37E-01	3.15E-02	8.49E-02	6.40E-02	8.93E-02
SJBT032346_D1_vs_SJBT032346_G1	3.20E+00	3.47E+00	2.67E+00	4.22E+00	1.01E+00	5.72E+00	2.90E+00	2.70E+00	7.31E-01	1.41E+00
SJBT032393_D1_vs_SJBT032393_G1	5.70E+00	8.01E+00	6.86E+00	1.04E+01	3.77E+00	1.41E+01	1.05E+01	6.11E+00	1.39E+00	3.18E+00
SJBT032417_D2_vs_SJBT032417_G1	1.63E+00	2.06E+00	3.36E+00	3.83E-01	2.09E+00	1.53E+00	3.25E+00	1.59E+00	8.64E-01	8.08E-01
SJBT033133_D3_vs_SJBT033133_G1	1.93E-01	0.00E+00	1.21E-01	2.70E-01	1.01E-01	1.12E-01	7.66E-02	1.67E-01	0.00E+00	1.41E-01
SJBT033236_D2_vs_SJBT033236_G1	8.93E-01	6.36E-01	6.77E-01	5.76E-01	3.35E-01	7.53E-01	1.07E+00	1.12E+00	4.11E-02	2.86E-01
SJBT034089_D1_vs_SJBT034089_G1	5.66E-01	2.58E-01	3.82E-01	4.25E-01	4.83E-01	4.69E-01	2.90E-01	7.01E-01	7.34E-02	1.23E-01
SJBT034110_D2_vs_SJBT034110_G1	1.82E+00	1.17E+00	2.36E+00	1.50E+00	6.79E-01	1.80E+00	1.94E+00	1.16E+00	2.80E-01	8.48E-01
SJMRT014754_D1_vs_SJMRT014754_G1	2.37E+00	8.04E+00	1.29E+01	7.12E+00	6.74E+00	8.41E+00	1.15E+01	2.62E+00	1.46E+00	2.33E+00
SJMRT015723_D1_vs_SJMRT015723_G1	3.60E+00	3.49E+00	6.31E+00	6.27E+00	3.24E+00	6.76E+00	5.43E+00	2.20E+00	1.41E+00	2.03E+00
SJMRT063832_X1_vs_SJMRT063832_G1	9.06E+01	9.80E+00	1.30E+02	8.79E+01	4.47E+01	1.37E+02	7.02E+01	4.67E+01	5.82E+00	1.89E+01
