Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
PARRCL-01A_vs_PARRCL-11A	143	69	68	139	90
PARTKH-01A_vs_PARTKH-10A	170	146	38	109	75
PARUGK-01A_vs_PARUGK-10A	109	61	35	139	11
PARZBI-01A_vs_PARZBI-11A	150	148	33	183	73
PARZRH-01A_vs_PARZRH-10A	611	0	98	163	89
PASABD-01A_vs_PASABD-10A	156	88	27	135	33
PASADZ-01A_vs_PASADZ-10A	213	139	26	119	120
PASCDH-01A_vs_PASCDH-10A	188	66	49	212	61
PASDLA-01A_vs_PASDLA-11A	121	42	32	98	23
PASGCL-01A_vs_PASGCL-10A	137	118	50	199	9
PASRHU-01A_vs_PASRHU-10A	68	0	6	143	11
PASVDP-01A_vs_PASVDP-10A	153	47	72	113	34
PASWZZ-01A_vs_PASWZZ-10A	75	55	15	105	38
PASXNA-01A_vs_PASXNA-11A	127	146	39	156	42
PASYNF-01A_vs_PASYNF-10A	108	15	37	160	16
PASZYE-01A_vs_PASZYE-10A	182	104	19	169	17
PATAFT-01A_vs_PATAFT-10A	174	183	51	69	41
PATBLF-01A_vs_PATBLF-10A	362	76	52	192	43
PATDVL-01A_vs_PATDVL-10A	141	47	45	108	32
PATENH-01A_vs_PATENH-11A	288	28	46	305	58
PATFXW-01A_vs_PATFXW-10A	183	66	17	235	83
PATFZZ-01A_vs_PATFZZ-10A	213	111	72	185	96
PATXEE-01A_vs_PATXEE-10A	411	74	66	267	25
PATXKA-01A_vs_PATXKA-10A	169	87	47	78	61
PAUCGJ-01A_vs_PAUCGJ-10A	421	117	40	80	168
PAUDPV-01A_vs_PAUDPV-11A	117	41	9	69	50
PAUEKW-01A_vs_PAUEKW-10A	252	317	122	605	9
PAUFVP-01A_vs_PAUFVP-11A	271	122	59	278	37
PAUGYZ-01A_vs_PAUGYZ-10A	313	0	48	161	10
PAUHAZ-01A_vs_PAUHAZ-10A	139	1	43	157	17
PAUNPA-01A_vs_PAUNPA-11A	489	0	58	214	0
PAVCKS-01A_vs_PAVCKS-11A	374	138	88	331	215
PAVITI-01A_vs_PAVITI-10A	284	83	93	212	45
PAVYDM-01A_vs_PAVYDM-11A	138	132	52	127	31
PAVYKD-01A_vs_PAVYKD-10A	111	68	11	107	36
PAWDGA-01A_vs_PAWDGA-11A	456	190	34	101	11
PAWFBL-01A_vs_PAWFBL-11A	407	31	45	144	18
PAWFWK-01A_vs_PAWFWK-10A	162	54	32	142	18
SJBT030128_D1_vs_SJBT030128_G1	103	0	1	116	0
SJBT030255_D1_vs_SJBT030255_G1	392	275	172	288	122
SJBT030581_D1_vs_SJBT030581_G1	342	9	104	634	0
SJBT030707_D2_vs_SJBT030707_G1	11	45	3	103	0
SJBT030896_D1_vs_SJBT030896_G1	0	0	1628	192	0
SJBT030997_D1_vs_SJBT030997_G1	160	89	38	163	57
SJBT031235_D1_vs_SJBT031235_G1	25	0	0	133	0
SJBT031605_D1_vs_SJBT031605_G1	1140	1385	567	335	215
SJBT031948_D2_vs_SJBT031948_G1	951	466	5397	50	282
SJBT032047_D1_vs_SJBT032047_G1	0	4	2	1	0
SJBT032346_D1_vs_SJBT032346_G1	189	32	25	443	3
SJBT032393_D1_vs_SJBT032393_G1	587	0	131	1667	0
SJBT032417_D2_vs_SJBT032417_G1	49	7	135	133	19
SJBT033133_D3_vs_SJBT033133_G1	1	3	2	3	0
SJBT033236_D2_vs_SJBT033236_G1	3	6	8	78	0
SJBT034089_D1_vs_SJBT034089_G1	0	0	2	79	0
SJBT034110_D2_vs_SJBT034110_G1	35	73	19	109	1
SJMRT014754_D1_vs_SJMRT014754_G1	587	159	423	171	50
SJMRT015723_D1_vs_SJMRT015723_G1	292	240	146	218	71
SJMRT063832_X1_vs_SJMRT063832_G1	0	12905	2821	1468	383
