Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
PASRHU-01A_vs_PASRHU-10A	1.46E+00	1.12E+00	6.91E-01	1.48E+00	6.64E-01
PASVDP-01A_vs_PASVDP-10A	2.15E+00	2.21E+00	1.63E+00	2.13E+00	1.01E+00
PASWZZ-01A_vs_PASWZZ-10A	1.73E+00	2.11E+00	1.05E+00	1.73E+00	1.05E+00
PASXNA-01A_vs_PASXNA-11A	2.06E+00	2.62E+00	1.72E+00	1.96E+00	1.42E+00
PASYNF-01A_vs_PASYNF-10A	2.15E+00	1.52E+00	1.42E+00	1.74E+00	8.68E-01
PASZYE-01A_vs_PASZYE-10A	2.24E+00	2.74E+00	1.38E+00	2.13E+00	9.92E-01
PATAFT-01A_vs_PATAFT-10A	2.57E+00	2.93E+00	1.66E+00	2.29E+00	1.44E+00
PATBLF-01A_vs_PATBLF-10A	3.07E+00	3.04E+00	1.82E+00	2.87E+00	1.60E+00
PATDVL-01A_vs_PATDVL-10A	1.78E+00	1.95E+00	1.18E+00	1.60E+00	9.37E-01
PATENH-01A_vs_PATENH-11A	3.37E+00	3.01E+00	1.60E+00	3.72E+00	1.64E+00
PATFXW-01A_vs_PATFXW-10A	2.68E+00	2.51E+00	1.02E+00	2.71E+00	2.05E+00
PATFZZ-01A_vs_PATFZZ-10A	2.89E+00	3.33E+00	2.17E+00	2.98E+00	1.82E+00
PATXEE-01A_vs_PATXEE-10A	4.30E+00	3.72E+00	1.92E+00	3.60E+00	1.42E+00
PATXKA-01A_vs_PATXKA-10A	2.62E+00	2.73E+00	1.72E+00	2.30E+00	1.48E+00
PAUCGJ-01A_vs_PAUCGJ-10A	3.84E+00	3.69E+00	1.95E+00	4.37E+00	4.47E+00
PAUDPV-01A_vs_PAUDPV-11A	1.95E+00	2.00E+00	9.71E-01	1.80E+00	1.51E+00
PAUEKW-01A_vs_PAUEKW-10A	4.65E+00	5.14E+00	2.79E+00	5.11E+00	2.45E+00
PAUFVP-01A_vs_PAUFVP-11A	3.43E+00	3.57E+00	1.91E+00	3.03E+00	1.63E+00
PAUGYZ-01A_vs_PAUGYZ-10A	2.91E+00	1.91E+00	1.51E+00	2.28E+00	1.12E+00
PAUHAZ-01A_vs_PAUHAZ-10A	2.38E+00	1.75E+00	1.09E+00	2.02E+00	1.09E+00
PAUNPA-01A_vs_PAUNPA-11A	3.87E+00	2.61E+00	2.04E+00	2.97E+00	1.42E+00
PAVCKS-01A_vs_PAVCKS-11A	4.07E+00	4.29E+00	2.69E+00	5.18E+00	4.54E+00
PAVITI-01A_vs_PAVITI-10A	2.95E+00	2.99E+00	1.89E+00	2.55E+00	1.52E+00
PAVYDM-01A_vs_PAVYDM-11A	2.53E+00	2.92E+00	1.76E+00	2.45E+00	1.24E+00
PAVYKD-01A_vs_PAVYKD-10A	2.00E+00	2.38E+00	9.72E-01	1.77E+00	1.25E+00
PAWDGA-01A_vs_PAWDGA-11A	3.33E+00	3.26E+00	1.71E+00	2.52E+00	1.19E+00
PAWFBL-01A_vs_PAWFBL-11A	4.03E+00	2.81E+00	1.64E+00	2.67E+00	1.22E+00
PAWFWK-01A_vs_PAWFWK-10A	2.03E+00	2.31E+00	1.07E+00	2.04E+00	1.17E+00
SJBT030128_D1_vs_SJBT030128_G1	1.48E+00	6.86E-01	7.36E-01	1.40E+00	5.43E-01
SJBT030255_D1_vs_SJBT030255_G1	4.04E+00	4.74E+00	2.96E+00	4.68E+00	2.21E+00
SJBT030581_D1_vs_SJBT030581_G1	5.56E+00	4.12E+00	2.26E+00	5.10E+00	1.12E+00
SJBT030707_D2_vs_SJBT030707_G1	8.64E-01	1.51E+00	5.00E-01	1.72E+00	9.88E-01
SJBT030896_D1_vs_SJBT030896_G1	4.94E+00	4.93E+00	6.70E+00	3.62E+00	1.34E+00
SJBT030997_D1_vs_SJBT030997_G1	2.33E+00	2.60E+00	1.26E+00	2.43E+00	1.64E+00
SJBT031235_D1_vs_SJBT031235_G1	1.26E+00	1.05E+00	7.91E-02	1.28E+00	5.18E-01
SJBT031605_D1_vs_SJBT031605_G1	1.02E+01	1.48E+01	7.30E+00	1.02E+01	6.09E+00
SJBT031948_D2_vs_SJBT031948_G1	2.26E+01	1.49E+01	2.24E+01	1.37E+01	6.35E+00
SJBT032047_D1_vs_SJBT032047_G1	0.00E+00	2.25E-01	1.41E-01	1.01E-01	1.23E-01
SJBT032346_D1_vs_SJBT032346_G1	3.91E+00	3.27E+00	1.28E+00	3.44E+00	1.12E+00
SJBT032393_D1_vs_SJBT032393_G1	9.94E+00	6.42E+00	3.63E+00	8.77E+00	3.22E+00
SJBT032417_D2_vs_SJBT032417_G1	1.73E+00	1.77E+00	1.83E+00	1.89E+00	9.15E-01
SJBT033133_D3_vs_SJBT033133_G1	7.96E-02	2.77E-01	1.72E-01	2.93E-01	9.77E-02
SJBT033236_D2_vs_SJBT033236_G1	8.12E-01	9.74E-01	4.43E-01	1.06E+00	2.50E-01
SJBT034089_D1_vs_SJBT034089_G1	3.13E-01	5.50E-01	5.53E-01	5.77E-01	8.27E-02
SJBT034110_D2_vs_SJBT034110_G1	1.57E+00	1.62E+00	9.05E-01	1.57E+00	4.42E-01
SJMRT014754_D1_vs_SJMRT014754_G1	5.84E+00	4.53E+00	4.07E+00	3.62E+00	3.17E+00
SJMRT015723_D1_vs_SJMRT015723_G1	4.04E+00	3.80E+00	2.70E+00	3.39E+00	1.62E+00
SJMRT063832_X1_vs_SJMRT063832_G1	2.97E+01	1.30E+02	4.19E+01	1.11E+02	1.25E+01
