Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
DIAF_vs_BLOOD	4.15E+00	8.45E+00	2.55E+00	3.65E+00	9.53E+00	8.13E+00	1.97E+00	1.47E+00
LNMETA_vs_BLOOD	7.95E+00	1.83E+01	4.84E+00	5.17E+00	1.90E+01	1.53E+01	2.35E+00	2.95E+00
LN_vs_BLOOD	2.87E+00	4.27E+00	2.67E+00	5.19E+00	5.80E+00	6.11E+00	3.25E+00	5.91E+00
OMEN_vs_BLOOD	3.33E+00	5.52E+00	1.91E+00	2.88E+00	5.96E+00	5.13E+00	1.69E+00	1.29E+00
PADWRZ-01A_vs_PADWRZ-10A	1.00E-02	5.86E-01	1.60E-01	1.05E+00	5.54E-01	1.02E+00	1.19E-01	2.18E-01
PADYZI-01A_vs_PADYZI-10A	6.88E-01	2.46E+00	9.67E-01	1.82E+00	2.10E+00	2.31E+00	8.42E-01	1.56E+00
PAEHIP-01A_vs_PAEHIP-10A	6.85E-01	9.32E-01	7.15E-01	1.25E+00	4.66E-01	1.70E+00	7.65E-01	7.86E-01
PAJLWM-01A_vs_PAJLWM-11A	5.66E-01	8.36E-01	2.73E-01	1.12E+00	8.42E-01	1.03E+00	7.75E-01	4.29E-01
PAJNFP-01A_vs_PAJNFP-11A	8.07E-01	1.32E+00	6.54E-01	8.93E-01	5.66E-01	1.46E+00	6.60E-01	2.02E+00
PAKHTL-01A_vs_PAKHTL-11A	0.00E+00	8.32E-01	2.11E-01	1.40E+00	7.91E-01	1.64E+00	7.73E-01	1.20E+00
PAKLYZ-01A_vs_PAKLYZ-10A	7.56E-01	9.13E-01	8.23E-01	3.32E+00	1.57E+00	3.94E+00	1.16E+00	1.73E-01
PAKTCT-01A_vs_PAKTCT-11A	3.80E-01	7.08E-01	6.48E-01	7.48E-01	4.83E-01	1.01E+00	2.34E-01	5.09E-01
PARECB-01A_vs_PARECB-11A	3.00E-01	4.88E-01	2.84E-01	3.97E-01	4.19E-02	4.68E-01	3.07E-01	1.00E-02
PAREWI-01A_vs_PAREWI-11A	1.66E-01	1.78E+00	3.06E-01	2.15E+00	2.16E+00	2.67E+00	7.09E-01	1.48E+00
PARGRN-01A_vs_PARGRN-10A	9.64E-01	9.47E-01	5.68E-01	2.69E+00	2.00E+00	1.75E+00	9.50E-02	2.46E+00
PARIRN-01A_vs_PARIRN-10A	3.50E-01	7.38E-01	2.46E-01	9.09E-01	1.11E+00	1.16E+00	6.31E-01	6.19E-01
