Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
SJBT030581_D1_vs_SJBT030581_G1	2	0	0	0	6	2	1	3	0
SJBT030997_D1_vs_SJBT030997_G1	0	0	0	16	0	7	25	44	15
SJBT031235_D1_vs_SJBT031235_G1	0	9	17	0	0	0	74	19	2
SJBT031605_D1_vs_SJBT031605_G1	234	0	2	168	1281	378	52	0	159
SJBT031948_D2_vs_SJBT031948_G1	545	572	44	0	50	80	0	50	98
SJBT032346_D1_vs_SJBT032346_G1	0	0	7	2	5	0	7	8	1
SJBT032393_D1_vs_SJBT032393_G1	60	44	22	0	79	107	790	252	40
SJBT032417_D2_vs_SJBT032417_G1	90	62	4	0	0	0	32	39	21
SJBT033236_D2_vs_SJBT033236_G1	0	0	3	7	0	0	28	0	0
SJBT034089_D1_vs_SJBT034089_G1	0	6	0	0	1	0	26	0	2
SJBT034110_D2_vs_SJBT034110_G1	8	8	12	0	31	7	43	6	3
SJMRT014754_D1_vs_SJMRT014754_G1	26	75	51	16	0	26	1	25	0
SJMRT015723_D1_vs_SJMRT015723_G1	81	102	7	101	40	0	39	14	27
SJMRT063832_X1_vs_SJMRT063832_G1	0	10	0	1	0	0	2	0	0
