Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
SJBT030581_D1_vs_SJBT030581_G1	1.80E-01	1.84E-01	7.26E-02	2.69E-01	3.75E-01	3.43E-01	1.69E-01	4.30E-01	0.00E+00
SJBT030997_D1_vs_SJBT030997_G1	2.38E-01	7.28E-01	1.00E-02	2.25E+00	1.68E+00	8.50E-01	8.73E-01	1.91E+00	7.07E-01
SJBT031235_D1_vs_SJBT031235_G1	2.43E-02	4.88E-01	6.39E-01	1.01E+00	1.11E+00	1.05E+00	1.17E+00	1.32E+00	2.88E-01
SJBT031605_D1_vs_SJBT031605_G1	5.79E+00	1.18E+01	3.89E+00	1.75E+01	2.69E+01	2.29E+01	3.95E+00	1.50E+01	5.04E+00
SJBT031948_D2_vs_SJBT031948_G1	1.03E+01	1.71E+01	3.32E+00	9.27E+00	1.27E+01	1.00E+01	5.81E-01	7.37E+00	2.63E+00
SJBT032346_D1_vs_SJBT032346_G1	0.00E+00	1.03E-01	4.20E-01	6.15E-01	5.99E-01	2.23E-02	4.03E-01	5.96E-01	1.56E-01
SJBT032393_D1_vs_SJBT032393_G1	3.68E+00	5.84E+00	2.66E+00	7.93E+00	1.02E+01	7.13E+00	6.20E+00	8.74E+00	1.79E+00
SJBT032417_D2_vs_SJBT032417_G1	2.35E+00	3.25E+00	5.30E-01	1.71E+00	1.85E+00	1.41E+00	1.07E+00	2.06E+00	1.09E+00
SJBT033236_D2_vs_SJBT033236_G1	1.18E-01	2.48E-01	1.72E-01	6.13E-01	3.63E-01	2.11E-01	6.32E-01	1.82E-01	0.00E+00
SJBT034089_D1_vs_SJBT034089_G1	1.22E-01	3.11E-01	1.84E-01	3.21E-01	5.54E-01	3.48E-01	5.78E-01	2.82E-01	2.12E-01
SJBT034110_D2_vs_SJBT034110_G1	5.68E-01	1.00E+00	6.20E-01	1.22E+00	1.73E+00	1.14E+00	9.09E-01	1.27E+00	3.67E-01
SJMRT014754_D1_vs_SJMRT014754_G1	1.25E+00	2.86E+00	1.42E+00	2.39E+00	3.25E+00	2.53E+00	2.94E-01	2.20E+00	0.00E+00
SJMRT015723_D1_vs_SJMRT015723_G1	2.44E+00	4.02E+00	1.20E+00	4.45E+00	3.54E+00	1.43E+00	1.32E+00	4.28E+00	1.21E+00
SJMRT063832_X1_vs_SJMRT063832_G1	1.29E-01	3.98E-01	2.81E-02	2.92E-01	1.88E-01	3.71E-02	1.12E-01	9.08E-02	0.00E+00
