Samples	SBS96A	SBS96B	SBS96C
PAJNFP-01A_vs_PAJNFP-11A	4.75E+00	1.31E+00	4.38E+00
PAKHTL-01A_vs_PAKHTL-11A	1.15E+00	9.22E-02	1.15E+00
PAKLYZ-01A_vs_PAKLYZ-10A	2.85E+00	8.80E-01	3.03E+00
PAKTCT-01A_vs_PAKTCT-11A	1.11E+00	5.88E-01	1.00E+00
PARECB-01A_vs_PARECB-11A	5.71E-01	4.25E-01	5.94E-01
PAREWI-01A_vs_PAREWI-11A	3.34E+00	9.62E-01	3.26E+00
PARGRN-01A_vs_PARGRN-10A	5.01E+00	1.46E+00	4.83E+00
PARIRN-01A_vs_PARIRN-10A	1.03E+00	5.14E-01	9.98E-01
PARPFY-01A_vs_PARPFY-11A	2.70E+00	1.08E+00	2.39E+00
PARZRH-01A_vs_PARZRH-10A	7.74E-01	3.47E-01	6.98E-01
PASABD-01A_vs_PASABD-10A	1.83E+00	7.69E-01	1.95E+00
PASADZ-01A_vs_PASADZ-10A	7.76E-01	4.72E-01	7.73E-01
PASCDH-01A_vs_PASCDH-10A	4.53E+00	1.29E+00	4.72E+00
PASDLA-01A_vs_PASDLA-11A	6.99E-01	3.85E-01	6.35E-01
PASVDP-01A_vs_PASVDP-10A	1.12E+00	5.19E-01	1.10E+00
PASWZZ-01A_vs_PASWZZ-10A	9.60E-01	4.57E-01	9.47E-01
PASXNA-01A_vs_PASXNA-11A	5.43E-01	4.94E-01	2.28E-01
PATAFT-01A_vs_PATAFT-10A	2.92E+00	1.25E+00	2.75E+00
PATDVL-01A_vs_PATDVL-10A	4.69E-01	1.95E-01	5.27E-01
PATENH-01A_vs_PATENH-11A	1.07E+00	3.19E-01	1.06E+00
PATFXW-01A_vs_PATFXW-10A	1.57E+00	5.43E-01	1.59E+00
PATFZZ-01A_vs_PATFZZ-10A	1.67E+00	9.36E-01	1.70E+00
PATXEE-01A_vs_PATXEE-10A	5.64E+00	1.46E+00	6.24E+00
PAUEKW-01A_vs_PAUEKW-10A	1.23E+00	2.70E-01	1.25E+00
PAUFVP-01A_vs_PAUFVP-11A	1.15E+00	5.32E-01	1.10E+00
PAUGYZ-01A_vs_PAUGYZ-10A	1.92E+00	9.16E-01	1.88E+00
PAUHAZ-01A_vs_PAUHAZ-10A	1.67E+00	8.98E-01	1.57E+00
PAVCKS-01A_vs_PAVCKS-11A	1.05E+00	4.65E-01	1.02E+00
PAVYKD-01A_vs_PAVYKD-10A	8.26E-01	7.18E-02	8.22E-01
PAWFBL-01A_vs_PAWFBL-11A	7.63E-01	5.63E-01	6.68E-01
PAWFWK-01A_vs_PAWFWK-10A	1.64E+00	9.07E-01	1.60E+00
SJBT030128_D1_vs_SJBT030128_G1	1.38E+00	5.54E-01	1.35E+00
SJBT030255_D1_vs_SJBT030255_G1	1.41E+00	9.46E-01	1.47E+00
SJBT030581_D1_vs_SJBT030581_G1	4.27E-01	2.92E-01	3.95E-01
SJBT030997_D1_vs_SJBT030997_G1	1.88E+00	4.00E-01	1.84E+00
SJBT031235_D1_vs_SJBT031235_G1	4.41E+00	2.32E-01	4.39E+00
SJBT031605_D1_vs_SJBT031605_G1	3.77E+01	1.18E+01	3.57E+01
SJBT031948_D2_vs_SJBT031948_G1	1.62E+01	1.05E+01	1.12E+01
SJBT032346_D1_vs_SJBT032346_G1	7.02E-01	0.00E+00	7.02E-01
SJBT032393_D1_vs_SJBT032393_G1	4.79E+01	3.23E+00	4.81E+01
SJBT032417_D2_vs_SJBT032417_G1	2.07E+00	1.96E+00	2.00E+00
SJBT033236_D2_vs_SJBT033236_G1	1.69E+00	1.86E-01	1.70E+00
SJBT034089_D1_vs_SJBT034089_G1	1.52E+00	1.79E-01	1.56E+00
SJBT034110_D2_vs_SJBT034110_G1	2.95E+00	6.31E-01	2.89E+00
SJMRT014754_D1_vs_SJMRT014754_G1	3.31E+00	1.89E+00	3.28E+00
SJMRT015723_D1_vs_SJMRT015723_G1	3.45E+00	2.15E+00	3.59E+00
SJMRT063832_X1_vs_SJMRT063832_G1	3.25E-01	3.70E-01	2.17E-01
