Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
SJBT030128_D1_vs_SJBT030128_G1	4.32E-01	2.75E+00	2.72E+00	1.39E-01	1.02E+00	2.01E-01	5.68E-01
SJBT030255_D1_vs_SJBT030255_G1	6.60E+00	5.18E+00	9.58E+00	2.84E+00	4.32E+00	1.78E+00	6.36E+00
SJBT030581_D1_vs_SJBT030581_G1	3.57E+00	5.37E+00	5.78E+00	2.14E+00	4.19E+00	5.03E-01	3.82E+00
SJBT030707_D2_vs_SJBT030707_G1	1.62E+00	1.29E+00	1.25E+00	4.35E-01	1.32E+00	2.18E-01	1.11E+00
SJBT030896_D1_vs_SJBT030896_G1	5.08E+00	5.22E+00	1.03E+01	8.46E+00	3.61E+00	9.58E-01	3.67E+00
SJBT030997_D1_vs_SJBT030997_G1	2.63E+00	3.23E+00	2.90E+00	1.31E+00	1.78E+00	8.82E-01	1.76E+00
SJBT031235_D1_vs_SJBT031235_G1	1.31E-01	6.59E-01	5.17E-01	7.06E-02	5.53E-01	0.00E+00	1.46E-01
SJBT031605_D1_vs_SJBT031605_G1	7.02E+00	5.44E+00	1.11E+01	3.60E+00	4.95E+00	1.57E+00	7.78E+00
SJBT031948_D2_vs_SJBT031948_G1	1.04E+01	2.76E+01	3.64E+01	2.40E+01	6.57E+00	3.13E+00	1.17E+01
SJBT032047_D1_vs_SJBT032047_G1	1.90E-01	5.00E-02	0.00E+00	9.91E-02	8.09E-02	7.82E-02	1.11E-01
SJBT032346_D1_vs_SJBT032346_G1	3.15E+00	4.06E+00	2.39E+00	1.20E+00	3.18E+00	5.78E-01	4.03E+00
SJBT032393_D1_vs_SJBT032393_G1	3.14E+00	4.54E+00	4.87E+00	2.00E+00	3.40E+00	6.75E-01	1.98E+00
SJBT032417_D2_vs_SJBT032417_G1	6.56E-01	1.59E-01	6.73E-01	4.51E-01	9.24E-01	3.14E-01	1.27E-01
SJBT033133_D3_vs_SJBT033133_G1	2.31E-01	2.44E-01	0.00E+00	1.42E-01	2.82E-01	0.00E+00	2.17E-01
SJBT033236_D2_vs_SJBT033236_G1	7.95E-01	3.58E-01	7.97E-01	3.99E-01	7.47E-01	1.06E-01	6.97E-02
SJBT034089_D1_vs_SJBT034089_G1	2.18E-01	2.24E-01	4.22E-02	3.83E-01	4.84E-01	0.00E+00	1.29E-01
SJBT034110_D2_vs_SJBT034110_G1	1.23E+00	9.61E-01	1.48E+00	4.91E-01	1.08E+00	1.98E-01	8.19E-01
SJMRT014754_D1_vs_SJMRT014754_G1	3.45E+00	1.21E+01	1.14E+01	3.87E+00	2.80E+00	1.12E+00	3.41E+00
SJMRT015723_D1_vs_SJMRT015723_G1	3.26E+00	5.29E+00	4.75E+00	1.07E+00	2.67E+00	9.22E-01	4.77E+00
SJMRT063832_X1_vs_SJMRT063832_G1	7.74E+01	5.02E+01	5.11E+01	2.99E+01	6.16E+01	5.54E+00	5.81E+01
