Samples	SBS96A	SBS96B	SBS96C
PAKHTL-01A_vs_PAKHTL-11A	1.38E+01	1.35E+01	1.59E+00
PAKLYZ-01A_vs_PAKLYZ-10A	8.06E+00	6.14E+00	4.96E+00
PAKTCT-01A_vs_PAKTCT-11A	1.07E+01	1.04E+01	2.42E+00
PARECB-01A_vs_PARECB-11A	3.24E+00	3.47E+00	1.29E+00
PAREWI-01A_vs_PAREWI-11A	4.75E+00	4.72E+00	1.40E+00
PARGRN-01A_vs_PARGRN-10A	6.29E+00	6.55E+00	1.82E+00
PARIRN-01A_vs_PARIRN-10A	1.54E+01	1.54E+01	2.04E+00
PARPFY-01A_vs_PARPFY-11A	5.38E+00	5.52E+00	1.87E+00
PARRCL-01A_vs_PARRCL-11A	4.42E+00	4.34E+00	1.63E+00
PARTKH-01A_vs_PARTKH-10A	4.37E+00	4.05E+00	1.69E+00
PARUGK-01A_vs_PARUGK-10A	5.77E+00	5.64E+00	1.14E+00
PARZBI-01A_vs_PARZBI-11A	6.36E+00	6.59E+00	1.27E+00
PARZRH-01A_vs_PARZRH-10A	6.57E+00	6.91E+00	2.59E+00
PASABD-01A_vs_PASABD-10A	5.62E+00	5.76E+00	1.34E+00
PASADZ-01A_vs_PASADZ-10A	5.04E+00	4.97E+00	1.56E+00
PASCDH-01A_vs_PASCDH-10A	7.00E+00	6.96E+00	1.55E+00
PASDLA-01A_vs_PASDLA-11A	4.05E+00	3.85E+00	1.27E+00
PASGCL-01A_vs_PASGCL-10A	9.89E+00	9.98E+00	1.48E+00
PASRHU-01A_vs_PASRHU-10A	6.03E+00	6.04E+00	7.35E-01
PASVDP-01A_vs_PASVDP-10A	3.96E+00	4.25E+00	1.71E+00
PASWZZ-01A_vs_PASWZZ-10A	3.86E+00	3.60E+00	1.09E+00
PASXNA-01A_vs_PASXNA-11A	5.60E+00	5.59E+00	1.66E+00
PASYNF-01A_vs_PASYNF-10A	7.06E+00	7.03E+00	1.31E+00
PASZYE-01A_vs_PASZYE-10A	6.52E+00	6.86E+00	1.47E+00
PATAFT-01A_vs_PATAFT-10A	5.54E+00	5.59E+00	1.83E+00
PATBLF-01A_vs_PATBLF-10A	7.25E+00	7.42E+00	1.66E+00
PATDVL-01A_vs_PATDVL-10A	4.15E+00	4.09E+00	1.14E+00
PATENH-01A_vs_PATENH-11A	1.24E+01	1.22E+01	1.63E+00
PATFXW-01A_vs_PATFXW-10A	7.68E+00	7.65E+00	1.32E+00
PATFZZ-01A_vs_PATFZZ-10A	6.02E+00	5.80E+00	2.18E+00
PATXEE-01A_vs_PATXEE-10A	1.12E+01	1.12E+01	2.01E+00
PATXKA-01A_vs_PATXKA-10A	2.79E+00	2.89E+00	1.80E+00
PAUCGJ-01A_vs_PAUCGJ-10A	5.12E+00	5.53E+00	2.14E+00
PAUDPV-01A_vs_PAUDPV-11A	2.89E+00	2.76E+00	1.01E+00
PAUEKW-01A_vs_PAUEKW-10A	2.86E+01	2.82E+01	2.99E+00
PAUFVP-01A_vs_PAUFVP-11A	1.22E+01	1.22E+01	1.99E+00
PAUGYZ-01A_vs_PAUGYZ-10A	7.29E+00	7.37E+00	1.55E+00
PAUHAZ-01A_vs_PAUHAZ-10A	5.92E+00	5.94E+00	1.14E+00
PAUNPA-01A_vs_PAUNPA-11A	1.21E+01	1.18E+01	2.14E+00
PAVCKS-01A_vs_PAVCKS-11A	9.50E+00	9.69E+00	2.88E+00
PAVITI-01A_vs_PAVITI-10A	8.80E+00	8.77E+00	2.04E+00
PAVYDM-01A_vs_PAVYDM-11A	5.19E+00	5.13E+00	1.77E+00
PAVYKD-01A_vs_PAVYKD-10A	4.11E+00	3.99E+00	1.13E+00
PAWDGA-01A_vs_PAWDGA-11A	7.54E+00	7.29E+00	1.79E+00
PAWFBL-01A_vs_PAWFBL-11A	7.29E+00	7.43E+00	1.72E+00
PAWFWK-01A_vs_PAWFWK-10A	6.20E+00	6.40E+00	1.08E+00
SJBT030128_D1_vs_SJBT030128_G1	5.15E+00	5.04E+00	8.33E-01
SJBT030255_D1_vs_SJBT030255_G1	1.02E+01	9.85E+00	3.14E+00
SJBT030581_D1_vs_SJBT030581_G1	2.96E+01	2.92E+01	2.21E+00
SJBT030707_D2_vs_SJBT030707_G1	5.41E+00	5.32E+00	6.00E-01
SJBT030896_D1_vs_SJBT030896_G1	1.17E+01	8.54E+00	7.85E+00
SJBT030997_D1_vs_SJBT030997_G1	5.84E+00	5.63E+00	1.29E+00
SJBT031235_D1_vs_SJBT031235_G1	5.39E+00	5.34E+00	1.92E-01
SJBT031605_D1_vs_SJBT031605_G1	3.92E+01	3.59E+01	8.71E+00
SJBT031948_D2_vs_SJBT031948_G1	5.02E+01	3.54E+01	3.17E+01
SJBT032047_D1_vs_SJBT032047_G1	2.22E-01	2.56E-01	1.72E-01
SJBT032346_D1_vs_SJBT032346_G1	1.89E+01	1.88E+01	1.29E+00
SJBT032393_D1_vs_SJBT032393_G1	6.79E+01	6.82E+01	3.99E+00
SJBT032417_D2_vs_SJBT032417_G1	5.54E+00	5.01E+00	1.96E+00
SJBT033133_D3_vs_SJBT033133_G1	3.28E-01	3.24E-01	2.18E-01
SJBT033236_D2_vs_SJBT033236_G1	3.55E+00	3.53E+00	4.61E-01
SJBT034089_D1_vs_SJBT034089_G1	3.41E+00	3.32E+00	5.42E-01
SJBT034110_D2_vs_SJBT034110_G1	5.40E+00	5.22E+00	9.04E-01
SJMRT014754_D1_vs_SJMRT014754_G1	8.83E+00	7.82E+00	5.26E+00
SJMRT015723_D1_vs_SJMRT015723_G1	9.43E+00	8.84E+00	2.78E+00
SJMRT063832_X1_vs_SJMRT063832_G1	4.31E+02	4.39E+02	4.14E+01
