Samples	SBS96A	SBS96B	SBS96C	SBS96D
PAJNFZ-01A_vs_PAJNFZ-10A	144	162	21	264
PAKHTL-01A_vs_PAKHTL-11A	357	91	45	423
PAKLYZ-01A_vs_PAKLYZ-10A	1135	0	169	2
PAKTCT-01A_vs_PAKTCT-11A	476	73	116	265
PARECB-01A_vs_PARECB-11A	119	50	28	100
PAREWI-01A_vs_PAREWI-11A	164	173	31	162
PARGRN-01A_vs_PARGRN-10A	196	216	21	120
PARIRN-01A_vs_PARIRN-10A	270	0	57	378
PARPFY-01A_vs_PARPFY-11A	369	37	54	164
PARRCL-01A_vs_PARRCL-11A	150	91	74	194
PARTKH-01A_vs_PARTKH-10A	194	158	47	139
PARUGK-01A_vs_PARUGK-10A	131	0	44	180
PARZBI-01A_vs_PARZBI-11A	180	115	45	247
PARZRH-01A_vs_PARZRH-10A	654	0	109	198
PASABD-01A_vs_PASABD-10A	190	30	38	181
PASADZ-01A_vs_PASADZ-10A	228	199	32	158
PASCDH-01A_vs_PASCDH-10A	216	6	60	294
PASDLA-01A_vs_PASDLA-11A	144	1	39	132
PASGCL-01A_vs_PASGCL-10A	181	0	67	265
PASRHU-01A_vs_PASRHU-10A	58	0	5	165
PASVDP-01A_vs_PASVDP-10A	175	9	81	154
PASWZZ-01A_vs_PASWZZ-10A	87	36	20	145
PASXNA-01A_vs_PASXNA-11A	162	87	52	209
PASYNF-01A_vs_PASYNF-10A	106	0	38	192
PASZYE-01A_vs_PASZYE-10A	230	3	34	224
PATAFT-01A_vs_PATAFT-10A	216	164	64	74
PATBLF-01A_vs_PATBLF-10A	414	0	67	244
PATDVL-01A_vs_PATDVL-10A	163	10	54	146
PATENH-01A_vs_PATENH-11A	296	0	52	377
PATFXW-01A_vs_PATFXW-10A	205	23	26	330
PATFZZ-01A_vs_PATFZZ-10A	239	101	83	254
PATXEE-01A_vs_PATXEE-10A	451	0	77	315
PATXKA-01A_vs_PATXKA-10A	186	101	54	101
PAUCGJ-01A_vs_PAUCGJ-10A	437	242	45	102
PAUDPV-01A_vs_PAUDPV-11A	128	53	12	93
PAUEKW-01A_vs_PAUEKW-10A	346	0	162	797
PAUFVP-01A_vs_PAUFVP-11A	326	0	77	364
PAUGYZ-01A_vs_PAUGYZ-10A	316	0	49	167
PAUHAZ-01A_vs_PAUHAZ-10A	133	0	42	182
PAUNPA-01A_vs_PAUNPA-11A	493	0	60	208
PAVCKS-01A_vs_PAVCKS-11A	393	191	100	462
PAVITI-01A_vs_PAVITI-10A	329	0	109	279
PAVYDM-01A_vs_PAVYDM-11A	174	77	65	164
PAVYKD-01A_vs_PAVYKD-10A	131	40	18	144
PAWDGA-01A_vs_PAWDGA-11A	553	86	58	95
PAWFBL-01A_vs_PAWFBL-11A	440	0	53	152
PAWFWK-01A_vs_PAWFWK-10A	186	0	40	182
SJBT030128_D1_vs_SJBT030128_G1	95	0	1	124
SJBT030255_D1_vs_SJBT030255_G1	463	210	199	377
SJBT030581_D1_vs_SJBT030581_G1	305	0	96	688
SJBT030707_D2_vs_SJBT030707_G1	21	0	8	133
SJBT030896_D1_vs_SJBT030896_G1	0	0	1604	216
SJBT030997_D1_vs_SJBT030997_G1	187	48	49	223
SJBT031235_D1_vs_SJBT031235_G1	14	0	0	144
SJBT031605_D1_vs_SJBT031605_G1	1452	1235	672	283
SJBT031948_D2_vs_SJBT031948_G1	976	580	5511	79
SJBT032047_D1_vs_SJBT032047_G1	0	3	3	1
SJBT032346_D1_vs_SJBT032346_G1	167	0	23	502
SJBT032393_D1_vs_SJBT032393_G1	450	0	104	1831
SJBT032417_D2_vs_SJBT032417_G1	41	0	135	167
SJBT033133_D3_vs_SJBT033133_G1	2	1	2	4
SJBT033236_D2_vs_SJBT033236_G1	0	0	6	89
SJBT034089_D1_vs_SJBT034089_G1	0	0	0	81
SJBT034110_D2_vs_SJBT034110_G1	57	0	29	151
SJMRT014754_D1_vs_SJMRT014754_G1	678	51	459	202
SJMRT015723_D1_vs_SJMRT015723_G1	358	157	172	280
SJMRT063832_X1_vs_SJMRT063832_G1	1611	11604	3648	714
